,name,rating,genre,year,released,score,votes,director,writer,star,budget,gross,company,runtime,released_month,adjusted_budget,adjusted_gross,weekday,actor,bday,nominations,awards_won,star_age
0,The Shining,R,Drama,1980,1980-06-13,8.4,927000.0,Other,Stephen King,Other,19000000.0,46998772.0,Warner Bros.,146.0,6,62480946.6019418,154554092.825728,Friday,Jack Nicholson,1937-04-22,12.0,3.0,15758
1,The Blue Lagoon,R,Adventure,1980,1980-07-02,5.8,65000.0,Other,Other,Other,4500000.0,58853106.0,Columbia Pictures,104.0,7,14798118.9320388,193536724.912864,Wednesday,Brooke Shields,1965-05-31,0.0,0.0,5511
2,Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,1980-06-20,8.7,1200000.0,Other,Other,Other,18000000.0,538375067.0,Other,124.0,6,59192475.7281553,1770430727.00231,Friday,Mark Hamill,1951-09-25,0.0,0.0,10496
3,Airplane!,PG,Comedy,1980,1980-07-02,7.7,221000.0,Other,Other,Other,3500000.0,83453539.0,Paramount Pictures,88.0,7,11509648.0582524,274434532.315898,Wednesday,Robert Hays,1947-07-24,0.0,0.0,12032
4,Caddyshack,R,Comedy,1980,1980-07-25,7.3,108000.0,Other,Other,Other,6000000.0,39846344.0,Other,98.0,7,19730825.2427184,131033541.670874,Friday,Chevy Chase,1943-10-08,0.0,0.0,13440
5,Friday the 13th,R,Horror,1980,1980-05-09,6.4,123000.0,Other,Other,Other,550000.0,39754601.0,Paramount Pictures,95.0,5,1808658.98058252,130731847.4875,Friday,Betsy Palmer,1926-11-01,0.0,0.0,19548
6,Friday the 13th,R,Horror,1980,1980-05-09,6.4,123000.0,Other,Other,Other,550000.0,39754601.0,Paramount Pictures,95.0,5,1808658.98058252,130731847.4875,Friday,Betsy Palmer,1926-11-01,0.0,0.0,19548
7,The Blues Brothers,R,Action,1980,1980-06-20,7.9,188000.0,Other,Other,Other,27000000.0,115229890.0,Universal Pictures,133.0,6,88788713.592233,378930137.054612,Friday,John Belushi,1949-01-24,0.0,0.0,11470
8,Raging Bull,R,Biography,1980,1980-12-19,8.2,330000.0,Martin Scorsese,Other,Robert De Niro,18000000.0,23402427.0,Other,129.0,12,59192475.7281553,76958199.5654126,Friday,Robert De Niro,1943-08-17,7.0,2.0,13639
9,Superman II,PG,Action,1980,1981-06-19,6.8,101000.0,Other,Other,Other,54000000.0,108185706.0,Other,127.0,6,177577427.184466,355765543.141019,Friday,Gene Hackman,1930-01-30,5.0,2.0,18768
10,The Long Riders,R,Biography,1980,1980-05-16,7.0,10000.0,Walter Hill,Other,Other,10000000.0,15795189.0,Other,100.0,5,32884708.7378641,51942018.9724515,Friday,David Carradine,1936-12-08,0.0,0.0,15865
11,Any Which Way You Can,PG,Action,1980,1980-12-17,6.1,18000.0,Other,Other,Clint Eastwood,15000000.0,70687344.0,Other,116.0,12,49327063.1067961,232453271.88932,Wednesday,Clint Eastwood,1930-05-31,2.0,0.0,18463
12,Popeye,PG,Adventure,1980,1980-12-12,5.3,30000.0,Other,Other,Robin Williams,20000000.0,49823037.0,Paramount Pictures,114.0,12,65769417.4757282,163841606.018083,Friday,Robin Williams,1951-07-21,4.0,1.0,10737
13,Ordinary People,R,Drama,1980,1980-09-19,7.7,49000.0,Other,Other,Other,6000000.0,54766923.0,Paramount Pictures,124.0,9,19730825.2427184,180099431.132403,Friday,Donald Sutherland,1935-07-17,0.0,0.0,16501
14,Dressed to Kill,R,Crime,1980,1980-07-25,7.1,37000.0,Brian De Palma,Other,Other,6500000.0,31899000.0,Other,104.0,7,21375060.6796117,104898932.402913,Friday,Michael Caine,1933-03-14,6.0,2.0,17300
15,Somewhere in Time,PG,Drama,1980,1980-10-03,7.2,27000.0,Other,Other,Other,5100000.0,9709597.0,Other,103.0,10,16771201.4563107,31929726.9307039,Friday,Christopher Reeve,1952-09-25,0.0,0.0,10235
16,9 to 5,PG,Comedy,1980,1980-12-19,6.9,29000.0,Other,Other,Other,10000000.0,103300686.0,Other,109.0,12,32884708.7378641,339701297.153155,Friday,Jane Fonda,1937-12-21,7.0,2.0,15704
17,The Fog,R,Horror,1980,1980-02-08,6.8,66000.0,John Carpenter,John Carpenter,Other,1000000.0,21448782.0,Other,89.0,2,3288470.87378641,70533694.8851942,Friday,Adrienne Barbeau,1945-06-11,0.0,0.0,12660
18,The Fog,R,Horror,1980,1980-02-08,6.8,66000.0,John Carpenter,John Carpenter,Other,1000000.0,21448782.0,Other,89.0,2,3288470.87378641,70533694.8851942,Friday,Adrienne Barbeau,1945-06-11,0.0,0.0,12660
19,Cruising,R,Crime,1980,1980-02-15,6.5,20000.0,Other,Other,Al Pacino,11000000.0,19814523.0,Other,102.0,2,36173179.6116505,65159481.7634709,Friday,Al Pacino,1940-04-25,9.0,1.0,14540
20,Heaven's Gate,R,Adventure,1980,1981-04-24,6.8,14000.0,Other,Other,Other,44000000.0,3484523.0,Other,219.0,4,144692718.446602,11458752.3945388,Friday,Kris Kristofferson,1936-06-22,0.0,0.0,16377
21,The Final Countdown,PG,Action,1980,1980-08-01,6.7,22000.0,Other,Other,Other,12000000.0,16647800.0,Other,103.0,8,39461650.4854369,54745805.4126214,Friday,Kirk Douglas,1916-12-09,3.0,0.0,23246
22,Xanadu,PG,Other,1980,1980-08-08,5.3,12000.0,Other,Other,Other,20000000.0,22762571.0,Universal Pictures,96.0,8,65769417.4757282,74854051.7459951,Friday,Olivia Newton-John,1948-09-26,0.0,0.0,11639
23,Brubaker,R,Crime,1980,1980-06-20,7.2,17000.0,Other,Other,Other,9000000.0,37121708.0,Twentieth Century Fox,131.0,6,29596237.8640777,122073655.543204,Friday,Robert Redford,1936-08-18,1.0,0.0,16012
24,American Gigolo,R,Crime,1980,1980-02-01,6.2,22000.0,Other,Other,Richard Gere,4800000.0,22743674.0,Paramount Pictures,117.0,2,15784660.1941748,74791909.5118932,Friday,Richard Gere,1949-08-31,0.0,0.0,11111
25,Private Benjamin,R,Comedy,1980,1980-10-10,6.2,24000.0,Other,Other,Other,10000000.0,69847348.0,Warner Bros.,109.0,10,32884708.7378641,229690969.509223,Friday,Goldie Hawn,1945-11-21,2.0,1.0,12742
26,The Hollywood Knights,R,Comedy,1980,1980-05-30,6.3,4300.0,Other,Other,Other,4000000.0,10000000.0,Other,91.0,5,13153883.4951456,32884708.7378641,Friday,Tony Danza,1951-04-21,0.0,0.0,10632
27,Motel Hell,R,Comedy,1980,1980-10-24,6.0,11000.0,Other,Other,Other,3000000.0,6342668.0,Other,101.0,10,9865412.62135922,20857678.9800971,Friday,Rory Calhoun,1922-08-08,0.0,0.0,21262
28,The Stunt Man,R,Action,1980,1980-06-27,7.1,9000.0,Other,Other,Other,3500000.0,7063886.0,Other,131.0,6,11509648.0582524,23229383.3667476,Friday,Peter O'Toole,1932-08-02,8.0,0.0,17496
29,The Island,R,Action,1980,1980-06-13,5.3,3900.0,Other,Other,Other,22000000.0,15716828.0,Universal Pictures,109.0,6,72346359.223301,51684331.1063107,Friday,Michael Caine,1933-03-14,6.0,2.0,17258
30,The Island,R,Action,1980,1980-06-13,5.3,3900.0,Other,Other,Other,22000000.0,15716828.0,Universal Pictures,109.0,6,72346359.223301,51684331.1063107,Friday,Michael Caine,1933-03-14,6.0,2.0,17258
31,The Nude Bomb,PG,Action,1980,1980-05-09,5.1,3100.0,Other,Other,Other,15000000.0,14662035.0,Universal Pictures,94.0,5,49327063.1067961,48215675.0479369,Friday,Don Adams,1923-04-13,0.0,0.0,20846
32,Stardust Memories,PG,Comedy,1980,1980-09-26,7.3,22000.0,Woody Allen,Woody Allen,Other,10000000.0,10389003.0,Other,89.0,9,32884708.7378641,34163933.7731796,Friday,Woody Allen,1935-11-30,1.0,0.0,16372
33,Melvin and Howard,R,Comedy,1980,1980-09-19,6.8,4500.0,Other,Other,Other,7000000.0,4309490.0,Universal Pictures,95.0,9,23019296.1165049,14171632.3458738,Friday,Paul Le Mat,1945-09-22,0.0,0.0,12781
34,Bronco Billy,PG,Action,1980,1980-06-11,6.1,11000.0,Clint Eastwood,Other,Clint Eastwood,6500000.0,24265659.0,Warner Bros.,116.0,6,21375060.6796117,79796912.854733,Wednesday,Clint Eastwood,1930-05-31,2.0,0.0,18274
35,When Time Ran Out...,PG,Action,1980,1980-03-28,4.6,2600.0,Other,Other,Other,20000000.0,3763988.0,Other,121.0,3,65769417.4757282,12377764.9072816,Friday,Paul Newman,1925-01-26,9.0,1.0,20150
36,Oh Heavenly Dog,PG,Comedy,1980,1980-07-11,5.4,2400.0,Other,Other,Other,6000000.0,6216067.0,Other,103.0,7,19730825.2427184,20441355.2790049,Friday,Chevy Chase,1943-10-08,0.0,0.0,13426
37,The Octagon,R,Action,1980,1980-08-15,5.1,5200.0,Other,Other,Other,4000000.0,18971000.0,Other,103.0,8,13153883.4951456,62385580.9466019,Friday,Chuck Norris,1940-03-10,0.0,0.0,14768
38,The Last Flight of Noah's Ark,G,Adventure,1980,1980-06-25,5.8,1300.0,Other,Other,Other,6000000.0,11000000.0,Other,97.0,6,19730825.2427184,36173179.6116505,Wednesday,Elliott Gould,1938-08-29,1.0,0.0,15276
39,Willie & Phil,R,Comedy,1980,1980-08-15,5.9,415.0,Other,Other,Other,5500000.0,4400000.0,Twentieth Century Fox,115.0,8,18086589.8058252,14469271.8446602,Friday,Michael Ontkean,1946-01-24,0.0,0.0,12622
40,Phobia,R,Drama,1980,1980-09-09,4.0,546.0,Other,Other,Other,5100000.0,59167.0,Other,94.0,9,16771201.4563107,194568.95618932,Tuesday,Paul Michael Glaser,1943-03-25,0.0,0.0,13683
41,Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,1981-06-12,8.4,905000.0,Steven Spielberg,Other,Harrison Ford,18000000.0,389925971.0,Paramount Pictures,115.0,6,53657425.7425743,1162356879.66854,Friday,Harrison Ford,1942-07-13,1.0,0.0,14214
42,An American Werewolf in London,R,Comedy,1981,1981-08-21,7.5,97000.0,Other,Other,Other,10000000.0,30669378.0,Other,97.0,8,29809680.9680968,91424437.3669967,Friday,David Naughton,1951-02-13,0.0,0.0,11147
43,Escape from New York,R,Action,1981,1981-07-10,7.2,131000.0,John Carpenter,John Carpenter,Other,6000000.0,25244626.0,Other,99.0,7,17885808.5808581,75253424.7218922,Friday,Kurt Russell,1951-03-17,0.0,0.0,11073
44,Porky's,R,Comedy,1981,1982-03-19,6.2,40000.0,Other,Other,Other,2500000.0,111289673.0,Other,94.0,3,7452420.2420242,331750964.717382,Friday,Dan Monahan,1955-07-20,0.0,0.0,9739
45,Blow Out,R,Crime,1981,1981-07-24,7.4,47000.0,Brian De Palma,Other,John Travolta,18000000.0,12000000.0,Other,108.0,7,53657425.7425743,35771617.1617162,Friday,John Travolta,1954-02-18,2.0,0.0,10018
46,Excalibur,R,Adventure,1981,1981-04-10,7.4,59000.0,Other,Other,Other,11000000.0,34971136.0,Other,140.0,4,32790649.0649065,104247840.725193,Friday,Nigel Terry,1945-08-15,0.0,0.0,13022
47,Mad Max 2,R,Action,1981,1982-05-21,7.6,170000.0,Other,Other,Mel Gibson,3000000.0,23668369.0,Other,96.0,5,8942904.29042904,70554652.8925193,Friday,Mel Gibson,1956-01-03,0.0,0.0,9635
48,Stripes,R,Comedy,1981,1981-06-26,6.9,68000.0,Ivan Reitman,Other,Other,10000000.0,85297000.0,Columbia Pictures,106.0,6,29809680.9680968,254267635.753575,Friday,Bill Murray,1950-09-21,1.0,0.0,11236
49,The Cannonball Run,PG,Action,1981,1981-06-19,6.2,34000.0,Other,Other,Other,18000000.0,72179579.0,Other,95.0,6,53657425.7425743,215165022.240154,Friday,Burt Reynolds,1936-02-11,1.0,0.0,16565
